"Project","generator-java"
"Directory Scanned","/home/travis/build/arf/java-codegen-yeoman/generator-java/production/java-codegen-yeoman/generator-java"
"Date","2017-08-08T10:36:44.253Z"
"CLI Version","2.1.7"
"WILD Version","1.0.1"
""
"Name","Version","Need Pedigree Review","Reason","License Types","Declared License","License Status","Path"
"is-buffer","1.1.5","false","Exempt - Version closely related to 1.1.0","MIT","MIT","Approved","node_modules/is-buffer"
"is-builtin-module","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-builtin-module"
"is-fullwidth-code-point","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-fullwidth-code-point"
"is-plain-obj","1.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-plain-obj"
"is-promise","2.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-promise"
"is-redirect","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-redirect"
"is-retry-allowed","1.1.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/is-retry-allowed"
"is-stream","1.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-stream"
"is-utf8","0.2.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/is-utf8"
"isarray","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/isarray"
"isexe","2.0.0","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/isexe"
"istextorbinary","2.1.0","true","New package and not exempt","KEYWORD,MIT,OFL-1.1,UNKNOWN","MIT","Needs Review","node_modules/istextorbinary"
"kind-of","3.2.2","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/kind-of"
"lazy-cache","1.0.4","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/lazy-cache"
"load-json-file","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/load-json-file"
"locate-path","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/locate-path"
"lodash","4.17.4","false","Previously pedigree reviewed","CC0-1.0,KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/lodash"
"log-symbols","1.0.2","false","Exempt - Version closely related to 1.0.0","MIT","MIT","Approved","node_modules/log-symbols"
"longest","1.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/longest"
"lowercase-keys","1.0.0","false","Previously pedigree reviewed","","MIT","Approved | Reference Only","node_modules/lowercase-keys"
"lru-cache","4.1.1","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/lru-cache"
"mem-fs","1.1.3","true","New package and not exempt","","MIT","Approved | Reference Only","node_modules/mem-fs"
"clone","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/mem-fs/node_modules/clone"
"clone-stats","0.0.1","true","New package and not exempt","MIT","MIT","Approved","node_modules/mem-fs/node_modules/clone-stats"
"replace-ext","0.0.1","true","New package and not exempt","MIT","","Approved","node_modules/mem-fs/node_modules/replace-ext"
